device_id,product_id,uid,uuid
ebfc535f5b18e937d9hzyy,kb4sqsxzcbxwuzjw,az1709463935731Xu8CK,jdws434a44a41d17e574
eb025cf6a940903e00oj3h,mio4mjjtqv3aiexo,az1702373998927SJXL0,fnk83d4a2207a7459e45
